10.4562,2014-11-14 00:00:00,1
11.1234,2014-11-14 01:00:00,1
12.8910,2014-11-14 02:00:00,1
11.2351,2014-11-14 03:00:00,0
10.6713,2014-11-14 04:00:00,1
11.7890,2014-11-14 05:00:00,1
10.1234,2014-11-14 06:00:00,1
13.3421,2014-11-14 07:00:00,0
15.1570,2014-11-14 08:00:00,1
14.0431,2014-11-14 09:00:00,1
13.0976,2014-11-14 10:00:00,1
12.3409,2014-11-14 11:00:00,0
11.2158,2014-11-14 12:00:00,1
12.2301,2014-11-14 13:00:00,1
15.6708,2014-11-14 14:00:00,1
13.3456,2014-11-14 15:00:00,1
11.1264,2014-11-14 16:00:00,1
10.1470,2014-11-14 17:00:00,1
14.2351,2014-11-14 18:00:00,0
12.4561,2014-11-14 19:00:00,1
11.1280,2014-11-14 20:00:00,1
13.1234,2014-11-14 21:00:00,1
14.4315,2014-11-14 22:00:00,1
10.1279,2014-11-14 23:00:00,1           
10.2562,2014-11-15 00:00:00,1
11.1634,2014-11-15 01:00:00,1
12.8910,2014-11-15 02:00:00,1
11.1351,2014-11-15 03:00:00,0
11.6713,2014-11-15 04:00:00,1
10.7890,2014-11-15 05:00:00,1
11.1234,2014-11-15 06:00:00,1
13.3421,2014-11-15 07:00:00,0
12.1470,2014-11-15 08:00:00,1
14.0431,2014-11-15 09:00:00,1
13.0176,2014-11-15 10:00:00,1
12.3409,2014-11-15 11:00:00,0
11.2158,2014-11-15 12:00:00,1
12.1301,2014-11-15 13:00:00,1
15.6708,2014-11-15 14:00:00,1
13.3456,2014-11-15 15:00:00,1
11.0264,2014-11-15 16:00:00,1
10.1470,2014-11-15 17:00:00,1
14.2351,2014-11-15 18:00:00,0
12.4561,2014-11-15 19:00:00,1
11.1280,2014-11-15 20:00:00,1
13.1234,2014-11-15 21:00:00,1
12.4315,2014-11-15 22:00:00,1
11.1279,2014-11-15 23:00:00,1
